iter	Passed	Remaining
379	767	1252
380	768	1248
381	769	1245
382	771	1242
383	772	1238
384	773	1235
385	774	1232
386	775	1229
387	777	1226
388	778	1222
389	779	1219
390	780	1216
391	782	1213
392	783	1209
393	784	1206
394	785	1203
395	786	1199
396	787	1196
397	789	1193
398	790	1190
399	791	1187
400	793	1184
401	794	1181
402	795	1178
403	796	1175
404	798	1172
405	800	1170
406	801	1168
407	802	1165
408	805	1163
409	806	1160
410	807	1157
411	809	1154
412	810	1151
413	811	1148
414	812	1144
415	813	1141
416	814	1139
417	815	1135
418	816	1132
419	817	1129
420	818	1126
421	820	1123
422	821	1120
423	822	1117
424	823	1114
425	824	1111
426	825	1108
427	826	1105
428	829	1103
429	830	1100
430	831	1097
431	832	1094
432	833	1091
433	835	1089
434	837	1087
435	838	1084
436	839	1081
437	840	1078
438	841	1075
439	843	1073
440	844	1070
441	845	1067
442	846	1064
443	847	1061
444	849	1058
445	850	1056
446	852	1054
447	853	1051
448	854	1048
449	856	1046
450	857	1044
451	859	1042
452	860	1039
453	862	1036
454	863	1034
455	865	1032
456	866	1030
457	868	1027
458	869	1024
459	870	1021
460	871	1019
461	872	1016
462	873	1013
463	875	1010
464	876	1008
465	877	1005
466	878	1002
467	879	999
468	880	997
469	882	994
470	883	992
471	884	989
472	885	987
473	887	984
474	888	981
475	889	979
476	890	976
477	891	973
478	892	971
479	894	968
480	895	965
481	896	963
482	897	961
483	899	959
484	900	956
485	902	954
486	903	951
487	904	949
488	905	946
489	907	944
490	908	941
491	910	940
492	912	937
493	913	935
494	914	933
495	915	930
496	917	928
497	918	925
498	919	923
499	921	921
500	922	918
501	923	916
502	926	915
503	927	913
504	929	910
505	930	908
506	931	905
507	932	902
508	933	900
509	934	898
510	936	895
511	937	893
512	938	890
513	939	888
514	941	886
515	942	884
516	943	881
517	944	879
518	945	876
519	947	874
520	948	871
521	949	869
522	950	866
523	951	864
524	952	861
525	954	859
526	955	857
527	956	855
528	957	852
529	958	850
530	960	847
531	961	845
532	962	843
533	963	840
534	964	838
535	965	835
536	966	833
537	967	831
538	968	828
539	969	826
540	970	823
541	971	821
542	973	819
543	974	816
544	975	814
545	976	811
546	977	809
547	978	807
548	979	804
549	981	802
550	982	800
551	983	797
552	984	795
553	985	793
554	986	790
555	987	788
556	989	786
557	990	784
558	991	782
559	993	780
560	994	778
561	995	775
562	996	773
563	997	771
564	998	768
565	1000	766
566	1001	764
567	1003	763
568	1004	760
569	1005	758
570	1007	756
571	1008	754
572	1010	752
573	1011	750
574	1012	748
575	1014	746
576	1015	744
577	1017	742
578	1018	740
579	1019	738
580	1021	736
581	1022	734
582	1023	732
583	1024	730
584	1025	727
585	1027	725
586	1028	723
587	1029	721
588	1030	719
589	1032	717
590	1033	715
591	1034	713
592	1035	711
593	1037	708
594	1038	706
595	1039	704
596	1040	702
597	1041	700
598	1042	698
599	1043	695
600	1045	693
601	1046	691
602	1047	689
603	1049	688
604	1050	685
605	1052	684
606	1054	682
607	1055	680
608	1056	678
609	1057	676
610	1058	674
611	1060	672
612	1061	670
613	1062	668
614	1063	665
615	1065	663
616	1066	661
617	1067	659
618	1068	657
619	1070	655
620	1071	653
621	1072	651
622	1074	650
623	1075	648
624	1077	646
625	1078	644
626	1079	642
627	1080	640
628	1082	638
629	1083	636
630	1084	634
631	1085	632
632	1087	630
633	1088	628
634	1089	626
635	1091	624
636	1092	622
637	1094	620
638	1095	618
639	1096	616
640	1097	614
641	1098	612
642	1100	610
643	1101	609
644	1103	607
645	1104	605
646	1105	603
647	1107	601
648	1108	599
649	1109	597
650	1110	595
651	1111	593
652	1112	591
653	1114	589
654	1115	587
655	1116	585
656	1118	584
657	1120	582
658	1122	580
659	1124	579
660	1125	577
661	1126	575
662	1127	573
663	1129	571
664	1130	569
665	1131	567
666	1132	565
667	1133	563
668	1134	561
669	1137	560
670	1138	558
671	1139	556
672	1141	554
673	1142	552
674	1143	550
675	1144	548
676	1145	546
677	1146	544
678	1148	542
679	1149	540
680	1150	538
681	1151	536
682	1153	535
683	1154	533
684	1155	531
685	1157	529
686	1158	527
687	1159	525
688	1160	523
689	1161	522
690	1163	520
691	1164	518
692	1167	516
693	1168	515
694	1169	513
695	1171	511
696	1173	510
697	1174	508
698	1176	506
699	1178	504
700	1179	503
701	1182	502
702	1184	500
703	1186	498
704	1187	497
705	1189	495
706	1190	493
707	1192	491
708	1194	490
709	1195	488
710	1198	487
711	1199	485
712	1201	483
713	1203	481
714	1204	480
715	1206	478
716	1207	476
717	1208	474
718	1210	472
719	1211	471
720	1213	469
721	1214	467
722	1215	465
723	1217	463
724	1218	462
725	1219	460
726	1221	458
727	1222	456
728	1223	454
729	1224	452
730	1226	451
731	1227	449
732	1228	447
733	1230	445
734	1231	444
735	1232	442
736	1233	440
737	1235	438
738	1236	436
739	1237	434
740	1239	433
741	1240	431
742	1241	429
743	1243	427
744	1244	425
745	1245	424
746	1248	423
747	1250	421
748	1251	419
749	1253	417
750	1254	415
751	1255	414
752	1257	412
753	1258	410
754	1259	408
755	1261	407
756	1262	405
757	1264	403
758	1266	402
759	1267	400
760	1268	398
761	1270	396
762	1271	395
763	1272	393
764	1274	391
765	1275	389
766	1277	387
767	1278	386
768	1279	384
769	1280	382
770	1282	380
771	1283	379
772	1284	377
773	1285	375
774	1288	374
775	1290	372
776	1291	370
777	1292	368
778	1293	367
779	1295	365
780	1296	363
781	1297	361
782	1298	359
783	1299	358
784	1301	356
785	1302	354
786	1303	352
787	1304	351
788	1306	349
789	1307	347
790	1308	345
791	1310	344
792	1311	342
793	1312	340
794	1314	338
795	1315	337
796	1316	335
797	1318	333
798	1319	331
799	1321	330
800	1322	328
801	1323	326
802	1324	325
803	1325	323
804	1327	321
805	1328	319
806	1329	318
807	1331	316
808	1332	314
809	1333	312
810	1335	311
811	1336	309
812	1337	307
813	1339	306
814	1340	304
815	1341	302
816	1342	300
817	1344	299
818	1345	297
819	1346	295
820	1348	294
821	1350	292
822	1351	290
823	1352	288
824	1353	287
825	1355	285
826	1356	283
827	1357	282
828	1358	280
829	1360	278
830	1361	276
831	1363	275
832	1364	273
833	1366	271
834	1367	270
835	1368	268
836	1370	266
837	1371	265
838	1372	263
839	1374	261
840	1376	260
841	1378	258
842	1379	256
843	1381	255
844	1382	253
845	1383	251
846	1385	250
847	1386	248
848	1387	246
849	1389	245
850	1390	243
851	1391	241
852	1394	240
853	1395	238
854	1396	236
855	1398	235
856	1400	233
857	1401	231
858	1402	230
859	1403	228
860	1404	226
861	1406	225
862	1407	223
863	1409	221
864	1411	220
865	1412	218
866	1414	216
867	1415	215
868	1416	213
869	1418	211
870	1420	210
871	1422	208
872	1424	207
873	1425	205
874	1426	203
875	1428	202
876	1429	200
877	1430	198
878	1432	197
879	1433	195
880	1434	193
881	1436	192
882	1437	190
883	1438	188
884	1439	187
885	1441	185
886	1442	183
887	1443	182
888	1444	180
889	1445	178
890	1447	177
891	1448	175
892	1449	173
893	1450	172
894	1452	170
895	1453	168
896	1454	167
897	1455	165
898	1457	163
899	1458	162
900	1459	160
901	1460	158
902	1462	157
903	1463	155
904	1464	153
905	1465	152
906	1467	150
907	1468	148
908	1469	147
909	1471	145
910	1472	143
911	1473	142
912	1475	140
913	1476	138
914	1477	137
915	1478	135
916	1480	133
917	1481	132
918	1482	130
919	1484	129
920	1485	127
921	1486	125
922	1488	124
923	1489	122
924	1490	120
925	1491	119
926	1492	117
927	1494	115
928	1495	114
929	1496	112
930	1497	111
931	1499	109
932	1500	107
933	1502	106
934	1504	104
935	1505	102
936	1506	101
937	1508	99
938	1509	98
939	1510	96
940	1512	94
941	1513	93
942	1514	91
943	1516	89
944	1517	88
945	1518	86
946	1520	85
947	1521	83
948	1522	81
949	1524	80
950	1525	78
951	1526	76
952	1529	75
953	1530	73
954	1531	72
955	1533	70
956	1534	68
957	1535	67
958	1536	65
959	1538	64
960	1539	62
961	1540	60
962	1542	59
963	1543	57
964	1544	56
965	1545	54
966	1547	52
967	1548	51
968	1549	49
969	1550	47
970	1551	46
971	1553	44
972	1554	43
973	1555	41
974	1556	39
975	1558	38
976	1559	36
977	1560	35
978	1562	33
979	1563	31
980	1564	30
981	1565	28
982	1566	27
983	1568	25
984	1569	23
985	1570	22
986	1571	20
987	1574	19
988	1575	17
989	1576	15
990	1578	14
991	1579	12
992	1580	11
993	1582	9
994	1583	7
995	1584	6
996	1586	4
997	1587	3
998	1588	1
999	1589	0
